# One run through the case, in the words a player might actually type.
# Each line is "input<TAB>the action it should land on"; `none` means the
# input is meant to match nothing, and `flavour:x` that it should reach prose
# with no consequence rather than an action. The tally at the end of a run is
# the number that decides whether this game works at all.
#
# The words here are deliberately not the examples the scenario shows the
# model. A walkthrough written out of the option list measures nothing.
机の上に広げてある帳面をめくる	examine_ledger
主人はどんな写真を残しているのか見てみたい	flavour:photographs
家政婦さんから、遺体を見つけたときの話を聞きたい	ask_mochizuki
膳を別々に運んでいた理由を望月さんに聞く	ask_mochizuki_meals
久瀬さんが八時ごろ廊下で何を見たのか、詳しく話してもらう	ask_ruise
鷲尾さんが倒れていた部屋に入る	go_chamber
脚に残っている傷をよく見てみる	examine_body
部屋に入った者の跡が床に残っていないか見る	examine_prints
頭を打ったという家具を確かめる	examine_tansu
布が掛けてあるものをめくってみる	flavour:mirror
外から入った者がいないか、窓のあたりを見る	flavour:window
上の階へ行ってみる	go_guestroom
千歳さんが見たという人物の特徴を詳しく聞く	ask_chitose
勉強しているという机まわりを眺める	flavour:textbook
渡り廊下の先の部屋へ移る	go_annex
海堂さんは誰とすれ違ったのか、そのときの話を聞く	ask_kaido
もらったという品を一つずつ開けてみる	examine_gifts
部屋の真ん中に通っている材木に近づく	flavour:pillar
もう一度、入ってきたところへ戻る	go_hall
あの部屋にあったのは犬の跡だけでしたと久瀬さんに言う	ask_ruise_prints
久瀬さん、千歳さんと同じ部屋にいたことはありますか	closed:ruise
望月さん、この館で犬を飼っていましたか	closed:mochizuki
いちど腰を下ろして、三人の話を突き合わせてみる	flavour:notebook
外はまだ霧がひどいのだろうか	flavour:mountain
屋根によじ登って煙突から入る	none
どうすればいいか教えてほしい	none
全員を広間に呼んで、分かったことを話す	finale
