番号	カテゴリ	質問内容そのもの
1-1	基礎知識	ビットコインとは何ですか？
1-2	基礎知識	Bitcoinとbitcoinは意味が違いますか？
1-3	基礎知識	ビットコインを発明したのは誰ですか？
1-4	基礎知識	サトシ・ナカモトの正体は判明していますか？
1-5	基礎知識	ビットコインの最大発行枚数はいくつですか？
1-6	基礎知識	なぜ最大発行枚数は2,100万BTCなのですか？
1-7	基礎知識	1 BTCは何satoshiですか？
1-8	基礎知識	ビットコインは誰かの会社や組織が管理していますか？
1-9	基礎知識	ビットコインのブロックチェーンとは何ですか？
1-10	基礎知識	ビットコインの値段が高すぎて買い物には使えないのでは？
1-11	基礎知識	承認を待つ必要があるなら、お店での支払いには使えないのでは？
1-12	基礎知識	1 BTC単位でしか買えないのですか？
1-13	基礎知識	ビットコインを買うには数百万円必要なのですか？
1-14	基礎知識	ビットコインは価格変動が激しすぎて通貨として使えないのでは？
1-15	基礎知識	ビットコインは手数料が高すぎて少額決済には向かないのでは？
1-16	基礎知識	ビットコインは電気を大量に使うので持続可能ではないのでは？
1-17	基礎知識	ビットコインは何の裏付けもないのに、なぜ価値があるのですか？
1-18	基礎知識	ビットコインは株や電子マネーと何が違うのですか？
1-19	基礎知識	ビットコインはただの投資商品ではないのですか？
1-20	基礎知識	ビットコインは犯罪者しか使っていないのでは？
1-21	基礎知識	ビットコインは匿名なので誰が送ったか絶対に分からないのですか？
1-22	基礎知識	ビットコインは政府に禁止されたら使えなくなるのでは？
1-23	基礎知識	ビットコインはインターネットが止まったら消えてしまいますか？
1-24	基礎知識	ビットコインは取引所が倒産したら全部なくなるのですか？
1-25	基礎知識	ビットコインの暗号やルールそのものを破って、他人のコインを盗んだり記録を書き換えたりできますか？
1-26	基礎知識	ビットコインはコピーできるデジタルデータなのに、なぜ二重に使えないのですか？
1-27	基礎知識	ビットコインは発行上限があるなら、将来足りなくなるのでは？
1-28	基礎知識	ビットコインは銀行口座がない人でも使えるのですか？
1-29	基礎知識	ビットコインを使うには必ず取引所の口座が必要ですか？
1-30	基礎知識	ビットコインを使うにはBitcoin Coreを動かす必要がありますか？
1-31	基礎知識	ビットコインは24時間365日送金できますか？
1-32	基礎知識	ビットコインのネットワークは誰かが止めることができますか？
1-33	基礎知識	ビットコインが2,100万枚しかないなら、世界中の人が使うには少なすぎないですか？
1-34	基礎知識	ビットコインはデフレ通貨なので経済活動には使えないのでは？
1-35	基礎知識	ビットコインは昔の技術なので、もっと新しい暗号資産のほうが優れているのでは？
1-36	基礎知識	2,100万BTCすべてが発行されたら、新しくBitcoinを買えなくなるのですか？
1-37	基礎知識	誰もBitcoinを売らなくなったらどうなりますか？
1-38	基礎知識	秘密鍵をなくして永久に動かせなくなったBTCは発行上限から差し引かれますか？
1-39	基礎知識	大量のBitcoinが失われると、残っているBitcoinの価値や仕組みに影響しますか？
1-40	基礎知識	Bitcoinは「デジタルゴールド」と言われますが、金と何が似ていて何が違いますか？
1-41	基礎知識	Bitcoinには配当や利息がないのに、なぜ価値を持つのですか？
1-42	基礎知識	Bitcoinは価格が上昇し続けないと成立しない仕組みですか？
1-43	基礎知識	新しくBitcoinを使い始める人は、必ず誰かからBTCを買う必要がありますか？
1-44	基礎知識	Bitcoinを持つこととBitcoinネットワークを利用することは同じですか？
1-45	基礎知識	Bitcoinを所有しているとは、具体的には何を所有していることになるのですか？
1-46	基礎知識	ビットコインの送金にはどれくらいの時間がかかりますか？
1-47	基礎知識	ビットコインがハッキングされることはありますか？
1-48	基礎知識	ビットコインは壊れてしまわないんですか？
1-49	基礎知識	ビットコインってどういう仕組みで動いているんですか？
1-50	基礎知識	ビットコインって何の役に立つんですか？
1-51	基礎知識	ビットコインっていっぱいあるんですか？
2-1	マイニング・PoW・ブロック生成	ブロックは平均何分ごとに生成されますか？
2-2	マイニング・PoW・ブロック生成	Proof of Workとは何ですか？
2-3	マイニング・PoW・ブロック生成	ビットコインのマイニングでは具体的に何を計算していますか？
2-4	マイニング・PoW・ブロック生成	マイナーはどうやって報酬を受け取るのですか？
2-5	マイニング・PoW・ブロック生成	ブロック報酬とは何ですか？
2-6	マイニング・PoW・ブロック生成	ビットコインの半減期とは何ですか？
2-7	マイニング・PoW・ブロック生成	次の半減期はいつですか？
2-8	マイニング・PoW・ブロック生成	Difficulty Adjustmentとは何ですか？
2-9	マイニング・PoW・ブロック生成	ハッシュレートが急落するとビットコインは停止しますか？
2-10	マイニング・PoW・ブロック生成	51%攻撃をすると何ができますか？
2-11	マイニング・PoW・ブロック生成	51%攻撃をすると他人のビットコインを自由に盗めますか？
2-12	マイニング・PoW・ブロック生成	マイニングは「複雑な数学の問題を解いている」という説明で正しいですか？
2-13	マイニング・PoW・ブロック生成	マイナーが見つけようとしているnonceとは何ですか？
2-14	マイニング・PoW・ブロック生成	ブロックハッシュが難易度ターゲットより小さい必要があるのはなぜですか？
2-15	マイニング・PoW・ブロック生成	ASICとは何ですか？普通のパソコンでもマイニングできますか？
